title,app_id,manifest_version,script-scr:unsafe-eval,script-scr:unsafe-eval-base64-hash,script-scr:unsafe-inline,script-scr:unsafe-inline-base64-hash,script-src:non-localhost-http-url,style-scr:unsafe-eval,style-scr:unsafe-eval-base64-hash,style-scr:unsafe-inline,style-scr:unsafe-inline-base64-hash,style-src:non-localhost-http-url,good#default-src,good#base-uri,good#form-action,good#frame-ancestors,good#plugin-types,good#report-uri,good#sandbox
Baltic Bundle New Tab & Wallpapers Collection,aaafpkambkpiojgbecocmcbnfinjcidd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Easy Auto Refresh,aabcgdmkeabbnleenpncegpcngjpnjkc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster - Window & Tab Manager,aadahadfdmiibmdhfmpbeeebejmjnkef,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NFL San Francisco 49ers HD FanMade New Tab,aadddieoiekknfabfjepcipehgblmila,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Talking Tom New Tab,aadkmeonidhkfildjlfhgnmfcmpcobkg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AwesomeDrive for Google Drive,aaebjepcfidgkojljbgoilgkgklehldj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal Dark Mode for Messenger,aaekanoannlhnajolbijaoflfhikcgng,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL Aaron Rodgers Wallpapers HD New Tab Theme,aagnjcnbhiplkefefilgifhlfhblnmlm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sicario Day Of The Soldado Wallpapers New Tab,aahoablmlcmaecfkhomjanadpodlcidl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby Animals HD Wallpaper New Tab Theme,aaibpdpekdgccfafnmnaddimoacanjme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billie Ellish New Tab & Wallpapers Collection,aaifjojbgiagmljjmlgegbpjoionkmbj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW i8 Sports Cars Custom New Tab,aamkceneggfjcpijkafbongkgjedjpng,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google Translate,aapbdbdomjkkjkaonfhkkikfgjllcleb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slides,aapocclcgogkmnckokdopfmhonfmgoek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suga & Jungkook BTS Wallpapers Sukook New Tab,abakjlhlbhapmhpfooopcighgniafmba,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioshock Wallpaper HD New Tab Themes,abbdfbncohjcoincmgijgdajdngglejp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freedom - Website Blocker for Chrome,abdkjmofmjelgafcdffaimhgdgpagmop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FlowPaper Accessible PDF Reader (Beta),abfbbilkopolofdgekbdfgdmgaljmelb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fyle - Expense Tracking & Reports,abggpefphmldapcoknbcaadbpdjjmjgk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monitor and Clean systems CPU  RAM usage,abhdadadmefcinkehbogolpfocgjkkgb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magic Actions for YouTube,abjcfabbhafbcdfjoecdgepllmpfceif,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Gravity Falls Wallpaper HD Custom New Tab,abjiljhlfpgenljedhbcikcnglgfmahg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AfterShip track packages of FedEx UPS & DHL,abkepgjebgiieabjeocpcimggpdjbaca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giving Assistant Button,abmkpkbghkncelngngaldkhfchgnmnbf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NimbusMind Meditation Relax and Calm,accebjobnljiehcaocahignlanfnfkcc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Ball Z Kai New Tab,acekbmmeefcfglpapajmncjkclhmeioi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Email tracking Scheduling & Templates,acfmebaomboldplijdpfepofggkocgnl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloudy Calculator,acgimceffoceigocablmjdpebeodphgc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demolition Derby Challenge,acjajnkjmifocmphfhbdapfaohjahngi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UseClark,acjcihhaibjgbejcdfmfkcgmldiindfa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Wallpapers & Mario Games,acmdejmkbamlbgfndmfbjoikjgikbmdo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokyo Ghoul New Tab Themes HD Kaneki,acmgemnaochmalgkipbamjddcplkdmjm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Quotes,acmmhpghffjojopbdcjmpadajjiopijp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghost Rider Wallpaper HD New Tab Themes,acnmdakoclfgagcaelcpccjbadhklhof,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
